Date,Sales,Year,Month,Quarter,MonthName,Month_sin,Month_cos,Sales_lag_1,Sales_lag_2,Sales_lag_3,Sales_lag_12,Rolling_mean_3,Rolling_std_3,Rolling_mean_6,Pct_change_1,Diff_1,IsHoliday
2016-01-31,18066.9576,2016,1,1,January,0.4999999999999999,0.8660254037844387,68167.0585,77907.66070000001,31453.393,14205.707,59176.0374,24497.52216452308,53341.78641666667,-0.7349605807033612,-50100.1009,0
2016-02-29,11951.411,2016,2,1,February,0.8660254037844386,0.5000000000000001,18066.9576,68167.0585,77907.66070000001,4519.892,54713.89226666666,32108.69349805224,50722.68885,-0.3384934384303864,-6115.5466000000015,0
2016-03-31,32339.3184,2016,3,1,March,1.0,6.123233995736766e-17,11951.411,18066.9576,68167.0585,55205.797,32728.4757,30842.662672158087,48195.001266666666,1.705899613024772,20387.9074,0
2016-04-30,34154.4685,2016,4,2,April,0.8660254037844387,-0.4999999999999998,32339.3184,11951.411,18066.9576,27906.855,20785.895666666667,10462.368765987916,39980.96653333333,0.0561282732538976,1815.1501000000023,0
2016-05-31,29959.5305,2016,5,2,May,0.4999999999999999,-0.8660254037844387,34154.4685,32339.3184,11951.411,23644.303,26148.3993,12328.404197791951,40431.14578333333,-0.122822523208054,-4194.938000000002,0
2016-06-30,23599.374,2016,6,2,June,1.2246467991473532e-16,-1.0,29959.5305,34154.4685,32339.3184,34322.9356,32151.105800000005,2103.792811343168,32439.79075,-0.2122915944894396,-6360.156500000001,0
2016-07-31,28608.259,2016,7,3,July,-0.4999999999999997,-0.8660254037844388,23599.374,29959.5305,34154.4685,33781.543,29237.791,5314.431851607174,25011.84333333333,0.2122465197593801,5008.885000000002,0
2016-08-31,36818.3422,2016,8,3,August,-0.8660254037844385,-0.5000000000000004,28608.259,23599.374,29959.5305,27117.5365,27389.0545,3350.782354277479,26768.726900000005,0.2869829722948187,8210.083199999997,0
2016-09-30,63133.606,2016,9,3,September,-1.0,-1.8369701987210294e-16,36818.3422,28608.259,23599.374,81623.5268,29675.32506666667,6673.773487400175,30913.21543333333,0.7147324465901672,26315.2638,0
2016-10-31,31011.7375,2016,10,4,October,-0.8660254037844386,0.5000000000000001,63133.606,36818.3422,28608.259,31453.393,42853.4024,18036.52849305596,36045.5967,-0.508791918205971,-32121.8685,0
2016-11-30,75249.3995,2016,11,4,November,-0.5000000000000004,0.8660254037844384,31011.7375,63133.606,36818.3422,77907.66070000001,43654.5619,17117.360597440933,35521.80820000001,1.4264812476243875,44237.662,0
2016-12-31,74543.6012,2016,12,4,December,-2.4492935982947064e-16,1.0,75249.3995,31011.7375,63133.606,68167.0585,56464.91433333334,22860.364634348294,43070.1197,-0.0093794542506614,-705.7982999999949,0
2017-01-31,18542.491,2017,1,1,January,0.4999999999999999,0.8660254037844387,74543.6012,75249.3995,31011.7375,18066.9576,60268.246066666674,25339.33716464679,51560.82423333334,-0.7512530827394478,-56001.11020000001,0
2017-02-28,22978.815,2017,2,1,February,0.8660254037844386,0.5000000000000001,18542.491,74543.6012,75249.3995,11951.411,56111.83056666667,32537.91625806268,49883.19623333333,0.2392517812196863,4436.324000000004,0
2017-03-31,51165.059,2017,3,1,March,1.0,6.123233995736766e-17,22978.815,18542.491,74543.6012,32339.3184,38688.3024,31130.725685184487,47576.60836666666,1.226618692043084,28186.244,0
2017-04-30,38679.767,2017,4,2,April,0.8660254037844387,-0.4999999999999998,51165.059,22978.815,18542.491,34154.4685,30895.455,17693.582943990055,45581.85053333334,-0.2440198886509639,-12485.292,0
2017-05-31,56656.908,2017,5,2,May,0.4999999999999999,-0.8660254037844387,38679.767,51165.059,22978.815,29959.5305,37607.88033333333,14123.66076753888,46859.85545,0.4647685959431968,17977.141000000003,0
2017-06-30,39724.486,2017,6,2,June,1.2246467991473532e-16,-1.0,56656.908,38679.767,51165.059,23599.374,48833.91133333333,9212.496226122628,43761.10686666667,-0.2988589140798153,-16932.422000000006,0
2017-07-31,38320.783,2017,7,3,July,-0.4999999999999997,-0.8660254037844388,39724.486,56656.908,38679.767,28608.259,45020.387,10091.051738288754,37957.921,-0.0353359638183863,-1403.702999999994,0
2017-08-31,30542.2003,2017,8,3,August,-0.8660254037844385,-0.5000000000000004,38320.783,39724.486,56656.908,36818.3422,44900.72566666667,10205.315419867522,41254.30300000001,-0.2029860063141194,-7778.582700000003,0
2017-09-30,69193.3909,2017,9,3,September,-1.0,-1.8369701987210294e-16,30542.2003,38320.783,39724.486,63133.606,36195.8231,4946.22923059191,42514.86721666667,1.265501182637454,38651.1906,0
2017-10-31,59583.033,2017,10,4,October,-0.8660254037844386,0.5000000000000001,69193.3909,30542.2003,38320.783,31011.7375,46018.7914,20443.168386877667,45519.5892,-0.1388912694550426,-9610.357899999995,0
2017-11-30,79066.4958,2017,11,4,November,-0.5000000000000004,0.8660254037844384,59583.033,69193.3909,30542.2003,75249.3995,53106.208066666666,20123.13543193922,49003.46686666666,0.3269968281070887,19483.4628,0
2017-12-31,95739.121,2017,12,4,December,-2.4492935982947064e-16,1.0,79066.4958,59583.033,69193.3909,74543.6012,69280.97323333334,9742.026671518564,52738.39816666667,0.2108683966742837,16672.625199999995,0
2018-01-31,43476.474,2018,1,1,January,0.4999999999999999,0.8660254037844387,95739.121,79066.4958,59583.033,18542.491,78129.54993333334,18096.244790943023,62074.170666666665,-0.5458860124692392,-52262.647,0
2018-02-28,19920.9974,2018,2,1,February,0.8660254037844386,0.5000000000000001,43476.474,95739.121,79066.4958,22978.815,72760.69693333334,26695.84972185362,62933.45249999999,-0.5417982286236,-23555.4766,0
2018-03-31,58863.4128,2018,3,1,March,1.0,6.123233995736766e-17,19920.9974,43476.474,95739.121,51165.059,53045.5308,38804.27943651883,61163.25201666667,1.954842652607344,38942.4154,0
2018-04-30,35541.9101,2018,4,2,April,0.8660254037844387,-0.4999999999999998,58863.4128,19920.9974,43476.474,38679.767,40753.62806666666,19613.4736030883,59441.58900000001,-0.3961969174169255,-23321.5027,0
2018-05-31,43825.9822,2018,5,2,May,0.4999999999999999,-0.8660254037844387,35541.9101,58863.4128,19920.9974,56656.908,38108.77343333333,19597.691696359227,55434.73518333334,0.2330789784986822,8284.072099999998,0
2018-06-30,48190.7277,2018,6,2,June,1.2246467991473532e-16,-1.0,43825.9822,35541.9101,58863.4128,39724.486,46077.1017,11822.596005065332,49561.31625,0.0995926452961504,4364.7455000000045,0
2018-07-31,44825.104,2018,7,3,July,-0.4999999999999997,-0.8660254037844388,48190.7277,43825.9822,35541.9101,38320.783,42519.54,6424.814400896953,41636.58403333334,-0.0698396529920009,-3365.623700000004,0
2018-08-31,62837.848,2018,8,3,August,-0.8660254037844385,-0.5000000000000004,44825.104,48190.7277,43825.9822,30542.2003,45613.93796666667,2286.797999423576,41861.3557,0.401845001854318,18012.744,0
2018-09-30,86152.888,2018,9,3,September,-1.0,-1.8369701987210294e-16,62837.848,44825.104,48190.7277,69193.3909,51951.22656666666,9577.095091781996,49014.16413333333,0.3710349851573531,23315.040000000008,0
2018-10-31,77448.1312,2018,10,4,October,-0.8660254037844386,0.5000000000000001,86152.888,62837.848,44825.104,59583.033,64605.280000000006,20720.504204618963,53562.41,-0.1010384794065174,-8704.756800000003,0
2018-11-30,117938.155,2018,11,4,November,-0.5000000000000004,0.8660254037844384,77448.1312,86152.888,62837.848,79066.4958,75479.62240000001,11781.512751856537,60546.78018333333,0.5228018181024876,40490.0238,0
2018-12-31,83030.3888,2018,12,4,December,-2.4492935982947064e-16,1.0,117938.155,77448.1312,86152.888,95739.121,93846.3914,21313.21192958724,72898.80898333334,-0.2959836551623179,-34907.7662,0
